scenario,cases,ground_truth_anomalies,ml_predicted_anomaly_rate,llm_predicted_anomaly_rate,ml_detection_rate,llm_detection_rate
gradual_download_increase,9,9,0.3333333333333333,0.5555555555555556,0.3333333333333333,0.5555555555555556
normal,150,0,0.03333333333333333,0.23333333333333334,,
normal_pre_anomaly,30,0,0.06666666666666667,0.13333333333333333,,
repeated_vip_access,9,9,1.0,0.5555555555555556,1.0,0.5555555555555556
role_deviation,9,9,0.8888888888888888,0.6666666666666666,0.8888888888888888,0.6666666666666666
slow_behavioral_drift,9,9,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666
unusual_volume_normal_hours,9,9,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.6666666666666666
