experiment,accuracy,precision,recall,f1_score,false_positive,false_negative
exp02_subtle_seed2027,0.8711111111111111,0.7105263157894737,0.6,0.6506024096385542,11,18
exp02_subtle_seed2028,0.9022222222222223,0.8108108108108109,0.6666666666666666,0.7317073170731707,7,15
exp02_subtle_seed2029,0.9066666666666666,0.8333333333333334,0.6666666666666666,0.7407407407407407,6,15
exp02_subtle_seed2030,0.8933333333333333,0.7692307692307693,0.6666666666666666,0.7142857142857143,9,15
exp02_subtle_seed2031,0.88,0.725,0.6444444444444445,0.6823529411764706,11,16
